,featureNum,trainAcc_xgb,trainSec_xgb,testAcc_xgb,testSec_xgb,MSE_xgb,MAE_xgb,MAPE_xgb,trainAcc_svm,trainSec_svm,testAcc_svm,testSec_svm,MSE_svm,MAE_svm,MAPE_svm,trainAcc_xgb_hyp,trainSec_xgb_hyp,testAcc_xgb_hyp,testSec_xgb_hyp,MSE_xgb_hyp,MAE_xgb_hyp,MAPE_xgb_hyp
0,1,0.5273047563123899,0.37935447692871094,0.5006839945280438,0.2632405757904053,1.1012311901504788,0.6716826265389877,190987125100527.47,0.5273047563123899,0.6305878162384033,0.5006839945280438,0.5855495929718018,1.1012311901504788,0.6716826265389877,190987125100527.47,0.5273047563123899,2.809638261795044,0.5006839945280438,3.2530128955841064,1.1012311901504788,0.6716826265389877,190987125100527.47
1,2,0.7903699354081033,1.9967865943908691,0.533515731874145,0.7947225570678711,1.1751025991792066,0.6607387140902873,190987125100527.44,0.45977686435701703,1.131195306777954,0.45964432284541723,0.5337278842926025,1.0984952120383038,0.7127222982216143,209469750110255.88,0.5408103347034645,4.367985963821411,0.5170998632010944,3.062823534011841,0.9712722298221614,0.6292749658002736,172504500090799.0
2,3,1.0,1.5239906311035156,0.9658002735978112,0.5935611724853516,0.03419972640218878,0.03419972640218878,18482625009728.453,0.9677040516735174,0.9021446704864502,0.9712722298221614,0.3333134651184082,0.028727770177838577,0.028727770177838577,86252250045399.38,1.0,0.7917261123657227,0.9726402188782489,0.9180014133453369,0.027359781121751026,0.027359781121751026,18482625009728.45
3,4,1.0,0.8227694034576416,0.9644322845417237,0.6005637645721436,0.03556771545827633,0.03556771545827633,18482625009728.453,0.9700528479154433,0.46817660331726074,0.9712722298221614,0.22821402549743652,0.028727770177838577,0.028727770177838577,86252250045399.38,1.0,0.687645435333252,0.9685362517099864,0.772681474685669,0.03146374829001368,0.03146374829001368,24643500012971.26
4,5,1.0,0.8187665939331055,0.9753761969904241,0.6766321659088135,0.024623803009575923,0.024623803009575923,12321750006485.637,0.9894304169113329,0.2832677364349365,0.9945280437756497,0.16916632652282715,0.005471956224350205,0.005471956224350205,6160875003242.8125,1.0,1.70359468460083,0.9808481532147743,1.8254220485687256,0.019151846785225718,0.019151846785225718,12321750006485.637
5,6,1.0,0.8077585697174072,0.9712722298221614,0.7967476844787598,0.028727770177838577,0.028727770177838577,12321750006485.639,0.987081620669407,0.3242459297180176,0.987688098495212,0.1591479778289795,0.012311901504787962,0.012311901504787962,36965250019456.875,1.0,2.046919107437134,0.9767441860465116,1.4103145599365234,0.023255813953488372,0.023255813953488372,12321750006485.637
6,7,1.0,1.293215036392212,0.9753761969904241,0.8798232078552246,0.024623803009575923,0.024623803009575923,6160875003242.825,0.987081620669407,0.3998699188232422,0.987688098495212,0.17916440963745117,0.012311901504787962,0.012311901504787962,36965250019456.875,1.0,2.6885159015655518,0.9808481532147743,3.188994884490967,0.019151846785225718,0.019151846785225718,12321750006485.637
7,8,1.0,1.1500778198242188,0.9767441860465116,1.2546956539154053,0.023255813953488372,0.023255813953488372,6160875003242.823,0.987081620669407,0.30126428604125977,0.987688098495212,0.17716383934020996,0.012311901504787962,0.012311901504787962,36965250019456.875,1.0,7.805099248886108,0.9767441860465116,9.493708610534668,0.023255813953488372,0.023255813953488372,18482625009728.45
8,9,1.0,0.9709100723266602,0.9726402188782489,0.9148595333099365,0.027359781121751026,0.027359781121751026,12321750006485.637,0.9794480328831474,0.47644543647766113,0.9808481532147743,0.2472236156463623,0.019151846785225718,0.019151846785225718,67769625035670.94,1.0,0.8618090152740479,0.9767441860465116,0.8828237056732178,0.023255813953488372,0.023255813953488372,18482625009728.45
9,10,1.0,1.114044427871704,0.9740082079343365,1.0950291156768799,0.03419972640218878,0.028727770177838577,24643500012971.26,0.9729888432178508,0.39783573150634766,0.9767441860465116,0.4615912437438965,0.023255813953488372,0.023255813953488372,86252250045399.38,1.0,1.93581223487854,0.9781121751025992,1.45635986328125,0.02188782489740082,0.02188782489740082,18482625009728.45
