,featureNum,trainAcc_xgb,testAcc_xgb,MSE_xgb,MAE_xgb,MAPE_xgb,trainAcc_svm,testAcc_svm,MSE_svm,MAE_svm,MAPE_svm,trainAcc_xgb_hyp,testAcc_xgb_hyp,MSE_xgb_hyp,MAE_xgb_hyp,MAPE_xgb_hyp
0,1,0.5273047563123899,0.5006839945280438,1.1012311901504788,0.6716826265389877,190987125100527.47,0.5273047563123899,0.5006839945280438,1.1012311901504788,0.6716826265389877,190987125100527.47,0.5273047563123899,0.5006839945280438,1.1012311901504788,0.6716826265389877,190987125100527.47
1,2,0.7903699354081033,0.533515731874145,1.1751025991792066,0.6607387140902873,190987125100527.44,0.45977686435701703,0.45964432284541723,1.0984952120383038,0.7127222982216143,209469750110255.88,0.5525543159130946,0.5280437756497948,0.9972640218878249,0.627906976744186,197148000103770.25
2,3,1.0,0.9658002735978112,0.03419972640218878,0.03419972640218878,18482625009728.453,0.9677040516735174,0.9712722298221614,0.028727770177838577,0.028727770177838577,86252250045399.38,1.0,0.9740082079343365,0.025991792065663474,0.025991792065663474,18482625009728.45
3,4,1.0,0.9644322845417237,0.03556771545827633,0.03556771545827633,18482625009728.453,0.9700528479154433,0.9712722298221614,0.028727770177838577,0.028727770177838577,86252250045399.38,1.0,0.9699042407660738,0.030095759233926128,0.030095759233926128,18482625009728.45
4,5,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,12321750006485.637,0.9894304169113329,0.9945280437756497,0.005471956224350205,0.005471956224350205,6160875003242.8125,1.0,0.9767441860465116,0.023255813953488372,0.023255813953488372,12321750006485.637
5,6,1.0,0.9712722298221614,0.028727770177838577,0.028727770177838577,12321750006485.639,0.987081620669407,0.987688098495212,0.012311901504787962,0.012311901504787962,36965250019456.875,1.0,0.9822161422708618,0.017783857729138167,0.017783857729138167,12321750006485.633
6,7,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,6160875003242.825,0.987081620669407,0.987688098495212,0.012311901504787962,0.012311901504787962,36965250019456.875,1.0,0.9767441860465116,0.023255813953488372,0.023255813953488372,12321750006485.637
7,8,1.0,0.9767441860465116,0.023255813953488372,0.023255813953488372,6160875003242.823,0.987081620669407,0.987688098495212,0.012311901504787962,0.012311901504787962,36965250019456.875,1.0,0.9794801641586868,0.02051983584131327,0.02051983584131327,12321750006485.637
8,9,1.0,0.9726402188782489,0.027359781121751026,0.027359781121751026,12321750006485.637,0.9794480328831474,0.9808481532147743,0.019151846785225718,0.019151846785225718,67769625035670.94,1.0,0.9753761969904241,0.024623803009575923,0.024623803009575923,18482625009728.45
9,10,1.0,0.9740082079343365,0.03419972640218878,0.028727770177838577,24643500012971.26,0.9729888432178508,0.9767441860465116,0.023255813953488372,0.023255813953488372,86252250045399.38,1.0,0.9781121751025992,0.02188782489740082,0.02188782489740082,12321750006485.637
10,11,1.0,0.9726402188782489,0.027359781121751026,0.027359781121751026,12321750006485.637,0.9682912507339988,0.9699042407660738,0.030095759233926128,0.030095759233926128,86252250045399.38,1.0,0.9808481532147743,0.019151846785225718,0.019151846785225718,12321750006485.637
11,12,1.0,0.9740082079343365,0.025991792065663474,0.025991792065663474,18482625009728.45,0.907809747504404,0.8878248974008208,0.11627906976744186,0.11354309165526676,86252250045399.42,1.0,0.9767441860465116,0.023255813953488372,0.023255813953488372,18482625009728.45
12,13,1.0,0.9740082079343365,0.030095759233926128,0.027359781121751026,24643500012971.26,0.8966529653552554,0.8782489740082079,0.12995896032831739,0.12448700410396717,86252250045399.42,1.0,0.9740082079343365,0.025991792065663474,0.025991792065663474,18482625009728.45
