,featureNum,trainAcc_xgb,trainSec_xgb,testAcc_xgb,testSec_xgb,MSE_xgb,MAE_xgb,MAPE_xgb,RMSE_xgb,trainAcc_svm,trainSec_svm,testAcc_svm,testSec_svm,MSE_svm,MAE_svm,MAPE_svm,RMSE_svm,trainAcc_xgb_hyp,trainSec_xgb_hyp,testAcc_xgb_hyp,testSec_xgb_hyp,MSE_xgb_hyp,MAE_xgb_hyp,MAPE_xgb_hyp,RMSE_xgb_hyp
17,18,1,1.262184858,0.974008208,1.277197599,0.034199726,0.02872777,2.46435E+13,0.18493168,0.866705813,0.671629667,0.844049248,0.397371769,0.172366621,0.161422709,9.24131E+13,0.415170593,1,6.421012163,0.976744186,6.355958462,0.023255814,0.023255814,1.84826E+13,0.15249857
18,19,1,1.291208744,0.974008208,1.205129385,0.030095759,0.027359781,1.23218E+13,0.173481294,0.867293012,0.678637981,0.844049248,0.428398132,0.172366621,0.161422709,9.24131E+13,0.415170593,1,2.369225979,0.980848153,2.216076612,0.019151847,0.019151847,1.23218E+13,0.138390198
19,20,1,1.579479456,0.972640219,1.269191504,0.031463748,0.02872777,2.46435E+13,0.177380236,0.865531415,0.731689215,0.844049248,0.482448578,0.172366621,0.161422709,9.24131E+13,0.415170593,1,9.462828636,0.97127223,8.37285018,0.02872777,0.02872777,1.84826E+13,0.169492685
20,21,1,1.392301559,0.975376197,1.242164135,0.024623803,0.024623803,1.23218E+13,0.156919734,0.864944216,0.788745403,0.844049248,0.490452766,0.172366621,0.161422709,9.24131E+13,0.415170593,1,1.258181334,0.979480164,1.245171547,0.020519836,0.020519836,1.23218E+13,0.143247464
21,22,1,1.307223082,0.975376197,1.255176067,0.02872777,0.025991792,1.84826E+13,0.169492685,0.864944216,0.717671394,0.844049248,0.431402445,0.172366621,0.161422709,9.24131E+13,0.415170593,1,10.8741982,0.975376197,10.96728778,0.024623803,0.024623803,1.84826E+13,0.156919734
22,23,1,1.336255789,0.97127223,1.368278265,0.032831737,0.030095759,2.46435E+13,0.181195302,0.865531415,0.69365406,0.844049248,0.450419903,0.172366621,0.161422709,9.24131E+13,0.415170593,1,7.548081875,0.975376197,7.379920721,0.024623803,0.024623803,1.84826E+13,0.156919734
23,24,1,1.430336237,0.974008208,1.337253094,0.030095759,0.027359781,2.46435E+13,0.173481294,0.866705813,0.784730434,0.848153215,0.480447769,0.221614227,0.175102599,1.72505E+14,0.470759203,1,5.456121683,0.975376197,5.38805294,0.024623803,0.024623803,1.84826E+13,0.156919734
24,25,1,1.468373775,0.97127223,1.386295557,0.036935705,0.031463748,2.46435E+13,0.19218664,0.866118614,0.833781242,0.846785226,0.512482166,0.222982216,0.176470588,1.72505E+14,0.472209928,1,6.380990267,0.975376197,5.052735806,0.024623803,0.024623803,1.84826E+13,0.156919734
25,26,1,1.512412786,0.97127223,1.458369017,0.036935705,0.031463748,2.46435E+13,0.19218664,0.866118614,0.857808113,0.844049248,0.547507524,0.225718194,0.179206566,1.72505E+14,0.475098089,1,8.803259134,0.975376197,8.743197441,0.024623803,0.024623803,2.46435E+13,0.156919734
26,27,1,1.55946207,0.974008208,1.481383562,0.034199726,0.02872777,2.46435E+13,0.18493168,0.866705813,1.00891161,0.844049248,0.568532228,0.225718194,0.179206566,1.72505E+14,0.475098089,1,12.78399253,0.975376197,12.92206478,0.024623803,0.024623803,2.46435E+13,0.156919734
27,28,1,1.576471806,0.969904241,1.488393545,0.034199726,0.031463748,1.84826E+13,0.18493168,0.867293012,0.966085672,0.844049248,0.513482571,0.225718194,0.179206566,1.72505E+14,0.475098089,1,9.835228443,0.975376197,9.856239319,0.024623803,0.024623803,2.46435E+13,0.156919734
28,29,1,1.601504326,0.972640219,1.508415937,0.031463748,0.02872777,1.84826E+13,0.177380236,0.866705813,0.876823425,0.844049248,0.545506001,0.225718194,0.179206566,1.72505E+14,0.475098089,0.999412801,4.193932772,0.976744186,4.169910192,0.023255814,0.023255814,2.46435E+13,0.15249857
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,, ,,,,,,,,,,,,,,,,,,,,,,,
